"Issue Type","Summary","Epic Name","Epic Link","Story Points","Priority","Labels","Sprint","Description","Acceptance Criteria"
"Epic","EP1 — MVP: Minha Agenda de Tarefas","EP1 — MVP: Minha Agenda de Tarefas","","","Highest","MVP","","Entregar o gerenciador de tarefas Kanban mínimo viável que permite ao usuário cadastrar-se, criar, acompanhar, filtrar e concluir tarefas.",""
"Story","US01 — Cadastrar usuário","","EP1 — MVP: Minha Agenda de Tarefas","3","Highest","US01 História","Sprint 1","[F1.1 — Gestão de Usuários] Como visitante, quero cadastrar meu nome e e-mail para que minhas tarefas fiquem associadas a mim.","- Dado um nome e e-mail válidos, quando submeto o cadastro, então o usuário é criado e passa a aparecer no seletor. 
- Dado um e-mail já cadastrado, quando tento cadastrar novamente, então recebo mensagem de erro clara. 
- Dado um e-mail em formato inválido, quando submeto, então o sistema bloqueia e informa o erro."
"Story","US02 — Selecionar/trocar usuário","","EP1 — MVP: Minha Agenda de Tarefas","2","Highest","US02 História","Sprint 1","[F1.1 — Gestão de Usuários] Como usuário, quero selecionar meu usuário em uma lista para visualizar apenas as minhas tarefas.","- Dado que existem usuários cadastrados, quando abro a aplicação, então vejo a lista de usuários no seletor. 
- Dado que seleciono um usuário, quando a seleção é feita, então o quadro de tarefas daquele usuário é exibido."
"Story","US03 — Criar tarefa","","EP1 — MVP: Minha Agenda de Tarefas","3","Highest","US03 História","Sprint 1","[F1.2 — Gestão de Tarefas (CRUD + Kanban)] Como usuário, quero criar uma tarefa com título e descrição para registrar algo que preciso fazer.","- Dado um título preenchido, quando crio a tarefa, então ela aparece na coluna 'A Fazer'. 
- Dado um título vazio, quando tento criar, então o sistema impede e informa que o título é obrigatório. 
- A descrição é opcional."
"Story","US04 — Visualizar quadro Kanban","","EP1 — MVP: Minha Agenda de Tarefas","5","Highest","US04 História","Sprint 1","[F1.2 — Gestão de Tarefas (CRUD + Kanban)] Como usuário, quero ver minhas tarefas organizadas em três colunas (A Fazer, Em Andamento, Concluído) para ter visão do meu progresso.","- Dado que possuo tarefas, quando abro o quadro, então cada tarefa aparece na coluna do seu status. 
- Dado que não possuo tarefas, quando abro o quadro, então vejo as colunas vazias sem erro. 
- Cada cartão exibe título, descrição e ações disponíveis."
"Story","US05 — Mover/editar status da tarefa","","EP1 — MVP: Minha Agenda de Tarefas","5","Highest","US05 História","Sprint 1","[F1.2 — Gestão de Tarefas (CRUD + Kanban)] Como usuário, quero mudar o status de uma tarefa para refletir o andamento do meu trabalho.","- Dado um cartão em 'A Fazer', quando altero seu status para 'Em Andamento', então ele passa para a coluna correspondente. 
- A alteração é persistida e permanece após recarregar a página. 
- Só o dono da tarefa consegue alterá-la."
"Story","US06 — Excluir tarefa","","EP1 — MVP: Minha Agenda de Tarefas","3","High","US06 História","","[F1.2 — Gestão de Tarefas (CRUD + Kanban)] Como usuário, quero excluir uma tarefa para remover itens que não preciso mais.","- Dado um cartão, quando clico em excluir, então é exibido um modal de confirmação. 
- Dado o modal de confirmação, quando confirmo, então a tarefa é removida do quadro e do banco. 
- Quando cancelo, então nada é removido."
"Story","US07 — Filtrar tarefas por status","","EP1 — MVP: Minha Agenda de Tarefas","3","High","US07 História","","[F1.2 — Gestão de Tarefas (CRUD + Kanban)] Como usuário, quero filtrar as tarefas por status para focar no que importa no momento.","- Dado o filtro 'Em Andamento', quando o aplico, então apenas tarefas em andamento são exibidas. 
- Dado o filtro 'Todos', quando o aplico, então todas as tarefas voltam a ser exibidas."
"Story","US08 — Sugerir tarefa","","EP1 — MVP: Minha Agenda de Tarefas","3","Medium","US08 História","","[F1.3 — Produtividade Assistida] Como usuário sem ideias, quero receber uma sugestão de tarefa para me ajudar a começar.","- Dado o botão 'Sugerir Tarefa', quando clico, então recebo uma sugestão vinda de uma API externa. 
- Dado falha na API externa, quando ocorre o erro, então recebo uma mensagem amigável sem quebrar a aplicação."
"Story","EN01 — API REST documentada (Swagger)","","EP1 — MVP: Minha Agenda de Tarefas","3","Highest","EN01 Enabler","Sprint 1","[F1.4 — Plataforma & Qualidade (Enablers e Requisitos Não Funcionais)] Como time de desenvolvimento, queremos uma API REST documentada via Swagger para padronizar a integração front-back e facilitar testes.","- A API expõe endpoints REST para usuários e tarefas. 
- A documentação Swagger está acessível em /apidocs e cobre todos os endpoints. 
- Há testes automatizados (PyTest) dos principais fluxos."
"Story","EN02 — Responsividade e layout base (Bootstrap)","","EP1 — MVP: Minha Agenda de Tarefas","3","High","EN02 Enabler","","[F1.4 — Plataforma & Qualidade (Enablers e Requisitos Não Funcionais)] Como time, queremos um layout responsivo base para que a aplicação funcione bem em desktop e mobile.","- A aplicação se adapta a telas de 360px a 1920px sem quebra de layout. 
- As colunas do Kanban se reorganizam em telas pequenas."
"Story","NFR01 — Desempenho do quadro de tarefas","","EP1 — MVP: Minha Agenda de Tarefas","2","Highest","NFR01 Req.-Não-Funcional","","[F1.4 — Plataforma & Qualidade (Enablers e Requisitos Não Funcionais)] Como usuário, quero que o quadro de tarefas carregue em até 2 segundos para uma experiência fluida.","- Com até 100 tarefas, o tempo de resposta da listagem é ≤ 2s em conexão 4G. 
- As chamadas à API retornam em ≤ 500ms no percentil 95 em ambiente de homologação."
"Epic","EP2 — Incremento 1: Conta e Planejamento","EP2 — Incremento 1: Conta e Planejamento","","","Medium","MVP","","Evoluir o produto com autenticação real e planejamento temporal das tarefas.",""
"Story","US09 — Login com e-mail e senha","","EP2 — Incremento 1: Conta e Planejamento","","High","US09 História","","[F2.1 — Autenticação de Usuário] Como usuário, quero autenticar com e-mail e senha para que apenas eu acesse minhas tarefas.","- (A detalhar no refinamento) — proteger acesso às tarefas por sessão autenticada."
"Story","US10 — Data de vencimento da tarefa","","EP2 — Incremento 1: Conta e Planejamento","","Medium","US10 História","","[F2.2 — Planejamento Temporal] Como usuário, quero definir uma data de vencimento para priorizar minhas tarefas.","- (A detalhar no refinamento)."
"Story","US11 — Edição completa da tarefa","","EP2 — Incremento 1: Conta e Planejamento","","Medium","US11 História","","[F2.2 — Planejamento Temporal] Como usuário, quero editar título e descrição de uma tarefa existente para corrigir informações.","- (A detalhar no refinamento)."
"Epic","EP3 — Incremento 2: Organização Avançada","EP3 — Incremento 2: Organização Avançada","","","Medium","MVP","","Adicionar recursos de organização e engajamento (não refinado — backlog emergente).",""
"Story","US12 — Etiquetas/categorias","","EP3 — Incremento 2: Organização Avançada","","Lowest","US12 História","","[F3.1 — Organização e Engajamento] Como usuário, quero etiquetar tarefas para agrupá-las por contexto.","- (Não refinado)."
"Story","US13 — Modo escuro","","EP3 — Incremento 2: Organização Avançada","","Lowest","US13 História","","[F3.1 — Organização e Engajamento] Como usuário, quero alternar para o modo escuro por conforto visual.","- (Não refinado)."
